uniq_id,product_name,pid,retail_price,discounted_price,is_FK_Advantage_product,product_rating,overall_rating,brand
6e3c484c5b39df6d2a982ac931844078,IndoSurgicals Reusable Vaginal Speculum,SLMEDD5NV2ET25RZ,682.00,545.00,FALSE,No rating available,No rating available,IndoSurgicals
253e3e85ba5abb3064958a9c8f81cf57,Dizionario MEEN111213,MNKDNW49THH74PVT,488.00,333.00,FALSE,2,2,
2925a5e1bd2cecbaf9fac289d4b00068,Kujaparis Casual,SHOEBGDMKUF33QYC,686.00,665.00,FALSE,No rating available,No rating available,
0086f7293aee8823ec72ee21fc33300e,Cocoon Stylish Square Toe Loafers,SHODZDAE6FKCC8AH,1089.00,635.00,FALSE,No rating available,No rating available,
4440929acaaed8359dc0c4fc98411184,Rialto Loafers,SHOEC89YJYEHBW2C,1692.00,1628.00,FALSE,No rating available,No rating available,
0f62501e3cf45f68a1c4eb1f2556d423,Lily Loafers,SHOEBG79YJZD9C33,1096.00,880.00,FALSE,No rating available,No rating available,
4a4b65e94d81d0a3cef41a60be0892a3,Danilo Official Arsenal FC 2015 Wall Calendar,CLDE26U5N2TSHREG,431.00,242.00,FALSE,4.3,4.3,
cbca9948920a47085304d65e12e95220,Zephyr Loafers,SHOECZNMZ6PJHHM8,1196.00,579.00,FALSE,No rating available,No rating available,
dd89eebd5de0ceb4a3611bd0d73265fa,Tales & Stories Slim Fit Baby Boy's Jeans,JEAE2KFRBNFZFWE6,890.00,685.00,FALSE,No rating available,No rating available,
73862f4ba0a336506a35e837b28603a5,Shibha Footwear Closed Toe Ballerina Loafers,SHOE6ZVUSR95HF6P,1782.00,1786.00,FALSE,No rating available,No rating available,
b99ab41c227bf8091f5bb22731c5dfdd,Ruby Sober-047 Loafers,SHOE4QFHZWCZGCMB,987.00,388.00,FALSE,3,3,
6c0b16fad556c6d937611a12a31f17a7,am by penny Loafers,SHOEAVPFUVHJJRHT,984.00,995.00,FALSE,No rating available,No rating available,
386707e14727126ea06c5e6babf8c1bd,Niremo Light Blue Loafers,SHOE6VH5FY6TXG62,1992.00,1009.00,FALSE,No rating available,No rating available,
71f01116aae8aba95d9d280f06094613,Credos Loafers,SHOECQQFS9D6CFNC,1785.00,1105.00,FALSE,No rating available,No rating available,
d057af695f38b664424565067a222481,Leejordan Loafers,SHOECFAQWZSP3SS2,988.00,557.00,FALSE,No rating available,No rating available,
2ed7803a8568f48fd2bdbda1430e81a9,Adreno 1906 Loafers,SHOEFDVVFH5WUUMN,989.00,1100.00,FALSE,No rating available,No rating available,
0ce9d601c74bace72125830dbb963411,Rasa Calendars Hindu Gods & Goddesses 2016 Wall Calendar,CLDE9Y64GKDGAAUG,383.00,246.00,FALSE,No rating available,No rating available,
3c35370a0603fdc042e258eda4d5ded6,Kujaparis Loafers,SHOEBBYTYEFP5WGN,791.00,832.00,FALSE,No rating available,No rating available,
f1484a63c0dc79e96c98b2a250380ed8,Prithish Alphabets With Illustrations Double Color Ceramic Mug,MUGEB7J7SENGQCZK,591.00,249.00,FALSE,No rating available,No rating available,
39df0e1a91000ede1a254b4371ff921d,Printland CMW1685 Ceramic Mug,MUGEACY8NCCXXWJZ,456.00,249.00,FALSE,No rating available,No rating available,
ef0abac049d5c7f8cacfa726d0f0aa48,Rockmantra Big Buildings Lighting In The Night Ceramic Mug,MUGEAGGKQMGVUVJT,480.00,226.00,FALSE,No rating available,No rating available,
9fca60d419cd473363a5ada65ca2279c,Printland PMR1859 Ceramic Mug,MUGEBFGY3VGMSTZE,642.00,372.00,FALSE,No rating available,No rating available,
1ddf395305feeea32fbe2fb2207d5af5,Prithish Listen To Your Heart Double Color Ceramic Mug,MUGE9WYRNFEG66S2,582.00,219.00,FALSE,No rating available,No rating available,
9d6e1a6f85b8c1e6c7eaa83876fca231,Printland CMW1634 Ceramic Mug,MUGEACY8CMZT54ZX,444.00,243.00,FALSE,No rating available,No rating available,
4ceb990cbe6f4934b835b93caa98e6df,Printland PMR1882 Ceramic Mug,MUGEBFGFM3GRXXKW,641.00,387.00,FALSE,No rating available,No rating available,
25ffae08bb57b22ba95780269cec4c0d,Printland PMR1903 Ceramic Mug,MUGEBFGFYPAT5BQE,639.00,382.00,FALSE,No rating available,No rating available,
f01ff0a82401117e9da22dd680fd2f36,Rockmantra Old Art Ceramic Mug,MUGEAGGKCDCUHPYQ,482.00,249.00,FALSE,No rating available,No rating available,
175821c781cc4afeddaeec26e6b98e6a,Printland PMR1269 Ceramic Mug,MUGEACY8SSF8HCAN,645.00,374.00,FALSE,No rating available,No rating available,
c0c06e2617acbdb2737d8fbbaed28699,Prithish Got that Shit you can't Teach Ceramic Mug,MUGE8S9K9YBFCGQV,498.00,211.00,FALSE,No rating available,No rating available,
a683c5a69fbdfd4c5159467bb9b358a0,Printland CMW1628 Ceramic Mug,MUGEACY8Z6ARBSVS,447.00,249.00,FALSE,No rating available,No rating available,
de911421573d3e234450040374b55b38,Prithish Word of The Day: Bullshit Double Color Ceramic Mug,MUGECEVF6QB99RWA,588.00,291.00,FALSE,No rating available,No rating available,
f14ae24e467e61379aaeeb8c90b7ce7f,Printland PMR1361 Ceramic Mug,MUGEACY8MFV9ZDB3,637.00,355.00,FALSE,No rating available,No rating available,
c3b0c0ab8b9921e175deb18745cbf160,Prithish Ur'E The Best Dad Ever Double Colour Ceramic Mug,MUGE4PXNXSEFGFZU,590.00,277.00,FALSE,5,5,
3d7867e1f462af93023b92afd213fdaf,Rockmantra Fantasy Art 9RMMW50000216 Ceramic Mug,MUGEAGGKNFZUGFN7,487.00,228.00,FALSE,No rating available,No rating available,
31522c88060d6bbb1e27fc9da76331f2,Rockmantra Fantasy Art 13RMMW40000813 Ceramic Mug,MUGEAGGKPVFMRCXU,479.00,239.00,FALSE,No rating available,No rating available,
614dbfa2f42c4684c0bb6152091113a6,Prithish Independence Day Design 7 Ceramic Mug,MUGE9P6DJGVZHRMV,588.00,281.00,FALSE,No rating available,No rating available,
8886862881e45f7a2a47b48523e21d12,Rockmantra Abstrect 5 Ceramic Mug,MUGEAGGKXFT23YYH,489.00,234.00,FALSE,No rating available,No rating available,
286772bcb89b50779081212457dcd091,Rockmantra Nor Fighter Ceramic Mug,MUGEAGGKWW34AFH6,482.00,229.00,FALSE,No rating available,No rating available,
5531b9f454e2d75cfe00c3f795e06de5,Rockmantra Vintage Mini Leafs Ceramic Mug,MUGEAGGKFYN8F5TT,491.00,234.00,FALSE,No rating available,No rating available,
c725d79c3a28486f9c1fe123e9bfb99a,Printland PMR1355 Ceramic Mug,MUGEACY8W2UBMYUQ,648.00,358.00,FALSE,No rating available,No rating available,
258444ac7bb7ad8026800efad5c3502b,Rajesh Digital BEST DAD 107 Ceramic Mug,MUGE9ZVGGRKZBUUA,340.00,282.00,FALSE,No rating available,No rating available,
bb49d364a5ce5cde96bf0e8e428c59b8,Printland CMW1662 Ceramic Mug,MUGEACY8H9R9ENVT,449.00,221.00,FALSE,No rating available,No rating available,
fb366420f6d18c68987c0f828616381d,Rockmantra 3D Planet Art Ceramic Mug,MUGEAGGKHSCYMGZG,486.00,255.00,FALSE,No rating available,No rating available,
