uniq_id,product_name,pid,retail_price,discounted_price,is_FK_Advantage_product,product_rating,overall_rating,brand
9a8fa4fd6524ada03411b033a9daadc1,HP Compaq Presario CQ43 6 Cell Laptop Battery,ACCDSY8EHJF6GRMG,4550,2478,FALSE,1,1,HP
950aaf3bbcc9f83292bba94411dfbad4,Hako HP Compaq Presario CQ45-207TU 6 Cell Laptop Battery,ACCDYDY68JNBV4BZ,2950,1299,FALSE,4,4,Hako
d9a6172d8a4255d7d928e966f26b4a5f,Wonderland Plant Container Set,PCSE9HAGNASZH2FW,850,850,FALSE,No rating available,No rating available,Wonderland
1706344643677bf46152298bbc86e113,First Smart Deal Plant Container Set,PCSEC86WZXZPEEZB,750,511,FALSE,No rating available,No rating available,First Smart Deal
19966dd9b78c7ed2192d476ff9b47858,Minervanaturals Plant Container Set,PCSEDFE7GAXP5XUW,700,500,FALSE,No rating available,No rating available,Minervanaturals
4e5e1718a61380d944c395384ec5ef0e,Color Palatte Hanging Planter Plant Container Set,PCSECYY4V8WYRVFY,1800,885,FALSE,No rating available,No rating available,Color Palatte
ac8de593181cee2fef555d4328ff8732,Minerva Naturals Plant Container Set,PCSEE2FECQ7EEKZF,600,400,FALSE,No rating available,No rating available,Minerva Naturals
03f9fa6c7564a043048bbe689aeed623,Nell Women Wedges,SNDEBR9FT9GB4FBM,799,499,FALSE,No rating available,No rating available,
82a9d3ac8b5eafe473a816b44aa95d01,Fab Rajasthan Casual Graphic Print Women's Kurti,KRTE84EBG5SAXMJT,1250,850,FALSE,No rating available,No rating available,
d405fcd9159b01547f766bdc32f3ed31,ShellysTrends Planters Plant Container Set,PCSEE4H5QPAW4GHR,1099,499,FALSE,No rating available,No rating available,ShellysTrends
d37a7de4b2e1fde824a5087c9ec47d7d,Shoekool Women Wedges,SNDEBJGXWMQBH98F,1499,699,FALSE,No rating available,No rating available,
ff7b97a7b644b86416463d95d25ffc95,Karnavati Women Wedges,SNDECYHFHV7XHZNN,749,649,FALSE,No rating available,No rating available,
3f5b16f7e6b7c64344c9a570e3a921f3,Style Her Women Wedges,SNDE88HQ2ETES45A,1299,425,FALSE,No rating available,No rating available,
bd034ac0c0dd21944cd4770f6157a9c4,Relexop Women Wedges,SNDEDGBMM8UGED7W,999,325,FALSE,No rating available,No rating available,
daa5c8b23b597d31fed69eac31a1b76c,Wellworth Women Wedges,SNDEAVZ4MSGYFBUD,1099,449,FALSE,No rating available,No rating available,
fb28a9df2cf0984c28b8d5dfa1efc2db,Super Drool Designer Plant Container Set,PCSECV3FXHPSZKYA,729,569,FALSE,No rating available,No rating available,Super Drool
f301f4f4e061035d634b1dec42b0795e,Easy Gardening Home Plant Container Set,PCSE6SJGPYFYGKUQ,2500,1800,FALSE,No rating available,No rating available,Easy Gardening
3ad7cf7f1838a247d5c3e6641b6c0044,Green Girgit Plant Container Set,PCSEAKVBRR8TKKZG,600,475,FALSE,No rating available,No rating available,Green Girgit
aae157dc215f3ce38471761bc0190ce3,Super Drool Hearty Plant Container Set,PCSECV3FJYUHEEZA,699,459,FALSE,No rating available,No rating available,Super Drool
fc21d08e86c4b45a662f50d2f6e1d2c0,VGreen Plant Container Set,PCSECPHKBH3N5R7C,1700,1350,FALSE,No rating available,No rating available,VGreen
3bf2a5e3a3643d2dea044834927db9f6,Suntree Garden Plant Container Set,PCSE55G4YBUXMBJK,,,TRUE,No rating available,No rating available,Suntree
ae8b6e33be3c5c00051f0b1f87fb2799,First Smart Deal Plant Container Set,PCSEC86VGZVB4GUB,1400,850,FALSE,No rating available,No rating available,First Smart Deal
04f0abf773e0de6fc47ad13672da39ef,Go Hooked Plant Container Set,PCSDYQEVCWZSZH8V,650,650,FALSE,No rating available,No rating available,Go Hooked
44b81abf4b341ea60a863a2f7a67f55a,Agricart Centaurea Dwarf Mix Seed,PAEEAMGFXAVYQWPY,80,80,FALSE,No rating available,No rating available,Agricart
9a8b9e2a59fe95db7e619f40acc5f1dd,Real Seed Planter Highly Durable And Elegant Plant Container Set,PCSEDT7SDKKPUVAV,790,460,FALSE,No rating available,No rating available,Real Seed
df89d42054b3522fcf4154323622823d,Joy Living Garden Plant Container Set,PCSDY5AFGFAQNCY9,300,300,TRUE,5,5,Joy Living
d30d5596e673765e4960470c098ad3bc,Agricart Yard Long Beans Seed,PAEE8NUTTVUFHACZ,100,100,FALSE,No rating available,No rating available,Agricart
7793b9bfe0a3e9f42477d108fca2ed36,Concorde Cas 154 Plant Container Set,PCSE7Y9XGFAEZMMM,400,250,FALSE,No rating available,No rating available,Concorde
55ca0b76c4c966e1a510c63bd23a0fdb,E-plant Edible Vegetable Seed,PAEE7ZWANPGQYQRZ,299,150,FALSE,No rating available,No rating available,E-plant
f3606366c5816ac3f430120b46d7ec84,Inspired Livingg Sky Plant Container Set,PCSE3X2TQH2SC9AJ,749,579,FALSE,No rating available,No rating available,Inspired Livingg
0fdee7ec52743c32a1b3233b90c285c8,E-plant Black Eyed Peas Culinary Vegetable Seed,PAEE7ZWAGCXEKY8B,299,150,FALSE,No rating available,No rating available,E-plant
441e6f19d6f67026ad9cd82cb9d3e872,Yuccabe Italia Plant Container Set,PCSE4TF4HYNWURSH,2598,1299,FALSE,No rating available,No rating available,Yuccabe Italia
edcbc7aa8d3fb4ee6451e89a19a3003f,Color Palatte Plant Container Set,PCSE5VQ3ZHHHTSTH,1150,575,FALSE,No rating available,No rating available,Color Palatte
